Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,npxG,Team
Aaron Wan-Bissaka,eng ENG,DF,25,22,20,1780,0,2,0,4,0,0,0,Manchester-United-
Scott McTominay,sct SCO,"MF,FW",26,32,18,1901,7,1,0,2,0,5,5,Manchester-United-
Harry Maguire,eng ENG,DF,30,22,18,1653,2,2,0,4,0,2,2,Manchester-United-
Raphaël Varane,fr FRA,DF,30,22,16,1375,1,0,0,2,0,1,1,Manchester-United-
Jonny Evans,nir NIR,DF,35,23,15,1392,0,1,0,2,0,0,0,Manchester-United-
Antony,br BRA,FW,23,29,15,1324,1,1,0,5,0,3,3,Manchester-United-
Victor Lindelöf,se SWE,DF,29,19,14,1328,1,1,0,2,0,0,0,Manchester-United-
Christian Eriksen,dk DEN,MF,31,22,12,1141,1,2,0,1,0,1,1,Manchester-United-
Luke Shaw,eng ENG,DF,28,12,12,959,0,0,0,6,0,0,0,Manchester-United-
Sofyan Amrabat,ma MAR,"MF,DF",26,21,10,938,0,0,0,6,0,0,0,Manchester-United-
Lisandro Martínez,ar ARG,DF,25,11,8,646,0,1,0,3,0,0,0,Manchester-United-
Mason Mount,eng ENG,"MF,FW",24,14,5,516,1,0,0,2,0,0,0,Manchester-United-
Anthony Martial,fr FRA,FW,27,13,5,448,1,0,0,0,0,1,1,Manchester-United-
Sergio Reguilón,es ESP,DF,26,9,4,412,0,0,0,3,0,0,0,Manchester-United-
Amad Diallo,ci CIV,"FW,MF",21,9,3,390,1,1,0,1,0,0,0,Manchester-United-
Willy Kambwala,fr FRA,DF,18,8,3,330,0,0,0,1,0,0,0,Manchester-United-
Facundo Pellistri,uy URU,"FW,MF",21,9,1,172,0,1,0,0,0,0,0,Manchester-United-
Hannibal Mejbri,tn TUN,"MF,FW",20,5,1,133,1,0,0,1,0,0,0,Manchester-United-
Omari Forson,eng ENG,FW,19,4,1,70,0,1,0,0,0,0,0,Manchester-United-
Jadon Sancho,eng ENG,"FW,MF",23,3,0,79,0,0,0,0,0,0,0,Manchester-United-
Ethan Wheatley,eng ENG,FW,17,3,0,16,0,0,0,0,0,0,0,Manchester-United-
Donny van de Beek,nl NED,DF,26,1,0,3,0,0,0,0,0,0,0,Manchester-United-
Daniel Gore,eng ENG,MF,18,1,0,1,0,0,0,0,0,0,0,Manchester-United-
Harry Amass,eng ENG,DF,16,0,0,0,0,0,0,0,0,0,0,Manchester-United-
Altay Bayındır,tr TUR,GK,25,0,0,0,0,0,0,0,0,0,0,Manchester-United-
Rhys Bennett,eng ENG,DF,19,0,0,0,0,0,0,0,0,0,0,Manchester-United-
Álvaro Carreras,es ESP,"DF,MF",20,0,0,0,0,0,0,0,0,0,0,Manchester-United-
Toby Collyer,eng ENG,MF,19,0,0,0,0,0,0,0,0,0,0,Manchester-United-
Tom Heaton,eng ENG,GK,37,0,0,0,0,0,0,0,0,0,0,Manchester-United-
Dean Henderson,eng ENG,GK,26,0,0,0,0,0,0,0,0,0,0,Manchester-United-
Joe Hugill,eng ENG,FW,19,0,0,0,0,0,0,0,0,0,0,Manchester-United-
Louis Jackson,sct SCO,DF,17,0,0,0,0,0,0,0,0,0,0,Manchester-United-
Dermot Mee,nir NIR,GK,20,0,0,0,0,0,0,0,0,0,0,Manchester-United-
Habeeb Ogunneye,eng ENG,DF,18,0,0,0,0,0,0,0,0,0,0,Manchester-United-
Radek Vítek,NULL,GK,19,0,0,0,0,0,0,0,0,0,0,Manchester-United-
Squad Total,NULL,NULL,26,38,418,3420,57,36,6,83,1,56,51,Manchester-United-
Opponent Total,NULL,NULL,26,38,418,3420,57,39,7,85,1,68,63,Manchester-United-
Vladimír Coufal,cz CZE,DF,30,36,36,3132,0,7,0,7,1,0,0,West-Ham-United-
Emerson Palmieri,it ITA,DF,28,36,35,3137,1,2,0,10,0,1,1,West-Ham-United-
Jarrod Bowen,eng ENG,FW,26,34,34,3019,16,6,0,2,0,11,11,West-Ham-United-
James Ward-Prowse,eng ENG,MF,28,37,34,3001,7,7,2,4,0,6,4,West-Ham-United-
Tomáš Souček,cz CZE,MF,28,37,34,2870,7,2,0,7,0,6,6,West-Ham-United-
Kurt Zouma,fr FRA,DF,28,33,32,2838,3,0,0,3,0,1,1,West-Ham-United-
Alphonse Areola,fr FRA,GK,30,31,31,2699,0,0,0,1,0,0,0,West-Ham-United-
Lucas Paquetá,br BRA,"FW,MF",25,31,31,2622,4,6,2,10,0,5,3,West-Ham-United-
Edson Álvarez,mx MEX,MF,25,31,28,2377,1,1,0,11,0,1,1,West-Ham-United-
Mohammed Kudus,gh GHA,"FW,MF",22,33,27,2484,8,6,0,6,0,5,5,West-Ham-United-
Nayef Aguerd,ma MAR,DF,27,21,21,1857,1,0,0,3,1,1,1,West-Ham-United-
Michail Antonio,jm JAM,FW,33,26,21,1695,6,2,0,6,0,5,5,West-Ham-United-
Konstantinos Mavropanos,gr GRE,DF,25,19,16,1500,1,0,0,2,0,1,1,West-Ham-United-
Łukasz Fabiański,pl POL,GK,38,10,7,721,0,0,0,0,0,0,0,West-Ham-United-
Angelo Ogbonna,it ITA,DF,35,11,7,635,0,0,0,1,0,0,0,West-Ham-United-
Saïd Benrahma,dz ALG,"FW,MF",27,13,5,620,0,1,0,1,0,1,1,West-Ham-United-
Ben Johnson,eng ENG,"DF,FW",23,14,4,544,0,0,0,1,0,0,0,West-Ham-United-
Aaron Cresswell,eng ENG,"DF,FW",33,11,4,436,0,0,0,1,0,0,0,West-Ham-United-
Pablo Fornals,es ESP,"MF,FW",27,15,4,426,0,0,0,0,0,0,0,West-Ham-United-
Danny Ings,eng ENG,FW,31,20,3,404,1,0,0,1,0,1,1,West-Ham-United-
Kalvin Phillips,eng ENG,MF,27,8,3,309,0,0,0,3,1,0,0,West-Ham-United-
Maxwel Cornet,ci CIV,"MF,FW",26,7,1,112,1,0,0,0,0,0,0,West-Ham-United-
Divin Mubama,eng ENG,FW,18,5,0,80,0,0,0,0,0,0,0,West-Ham-United-
George Earthy,eng ENG,FW,18,3,0,34,1,0,0,0,0,0,0,West-Ham-United-
Thilo Kehrer,de GER,"DF,MF",26,4,0,22,0,0,0,2,0,0,0,West-Ham-United-
Kaelan Casey,eng ENG,DF,18,1,0,1,0,0,0,0,0,0,0,West-Ham-United-
Joseph Anang,eng ENG,GK,23,0,0,0,0,0,0,0,0,0,0,West-Ham-United-
Conor Coventry,ie IRL,MF,23,0,0,0,0,0,0,0,0,0,0,West-Ham-United-
Levi Laing,eng ENG,DF,20,0,0,0,0,0,0,0,0,0,0,West-Ham-United-
Callum Marshall,nir NIR,DF,18,0,0,0,0,0,0,0,0,0,0,West-Ham-United-
Lewis Orford,eng ENG,MF,17,0,0,0,0,0,0,0,0,0,0,West-Ham-United-
Oliver Scarles,eng ENG,DF,17,0,0,0,0,0,0,0,0,0,0,West-Ham-United-
Squad Total,NULL,NULL,28,38,418,3420,58,40,4,82,3,52,48,West-Ham-United-
Opponent Total,NULL,NULL,26,38,418,3420,70,51,8,71,2,71,63,West-Ham-United-
Joachim Andersen,dk DEN,DF,27,0,38,3415,2,3,0,7,0,1,1,Crystal-Palace-
Tyrick Mitchell,eng ENG,"DF,MF",23,0,37,3204,2,3,0,6,0,1,1,Crystal-Palace-
Jordan Ayew,gh GHA,"FW,MF",31,0,30,2543,4,7,0,9,1,3,3,Crystal-Palace-
Jefferson Lerma,co COL,"MF,DF",28,0,27,2400,1,1,0,8,0,2,2,Crystal-Palace-
Jean-Philippe Mateta,fr FRA,FW,26,0,25,2282,16,5,2,3,0,10,9,Crystal-Palace-
Eberechi Eze,eng ENG,"MF,FW",25,0,24,2055,11,4,1,3,0,9,8,Crystal-Palace-
Chris Richards,us USA,"DF,MF",23,0,23,2094,1,1,0,3,0,0,0,Crystal-Palace-
Marc Guéhi,eng ENG,DF,23,0,23,2021,0,1,0,2,0,0,0,Crystal-Palace-
Joel Ward,eng ENG,DF,33,0,23,1980,0,1,0,4,0,0,0,Crystal-Palace-
Will Hughes,eng ENG,MF,28,0,23,1891,0,1,0,6,0,0,0,Crystal-Palace-
Sam Johnstone,eng ENG,GK,30,0,20,1796,0,0,0,1,0,0,0,Crystal-Palace-
Dean Henderson,eng ENG,GK,26,0,18,1620,0,0,0,2,0,0,0,Crystal-Palace-
Odsonne Édouard,fr FRA,"FW,MF",25,0,17,1555,7,0,0,4,0,6,6,Crystal-Palace-
Jeffrey Schlupp,gh GHA,"FW,MF",30,0,17,1352,2,2,0,1,0,1,1,Crystal-Palace-
Daniel Muñoz,co COL,"DF,MF",27,0,16,1439,0,4,0,4,0,1,1,Crystal-Palace-
Adam Wharton,eng ENG,MF,19,0,15,1297,0,3,0,2,0,0,0,Crystal-Palace-
Nathaniel Clyne,eng ENG,DF,32,0,14,1338,0,0,0,0,0,0,0,Crystal-Palace-
Michael Olise,fr FRA,"FW,MF",21,0,14,1275,10,6,1,0,0,5,4,Crystal-Palace-
Cheick Doucouré,ml MLI,MF,23,0,11,919,0,0,0,2,0,0,0,Crystal-Palace-
Jaïro Riedewald,nl NED,"MF,FW",26,0,2,235,0,0,0,0,0,0,0,Crystal-Palace-
Matheus França,br BRA,"MF,FW",19,0,1,232,0,1,0,1,0,0,0,Crystal-Palace-
Naouirou Ahamada,fr FRA,"MF,FW",21,0,0,349,0,0,0,4,1,0,0,Crystal-Palace-
David Ozoh,eng ENG,"MF,DF",18,0,0,156,0,0,0,1,0,0,0,Crystal-Palace-
Jesurun Rak Sakyi,eng ENG,"MF,FW",20,0,0,136,0,0,0,0,0,0,0,Crystal-Palace-
James Tomkins,eng ENG,DF,34,0,0,10,0,0,0,0,0,0,0,Crystal-Palace-
Remi Matthews,eng ENG,GK,29,0,0,4,0,0,0,0,0,0,0,Crystal-Palace-
Tayo Adaramola,ie IRL,DF,19,0,0,0,0,0,0,0,0,0,0,Crystal-Palace-
Malcolm Ebiowei,eng ENG,MF,19,0,0,0,0,0,0,0,0,0,0,Crystal-Palace-
John-Kymani Gordon,eng ENG,"FW,MF",20,0,0,0,0,0,0,0,0,0,0,Crystal-Palace-
Rob Holding,eng ENG,DF,27,0,0,0,0,0,0,0,0,0,0,Crystal-Palace-
Roshaun Mathurin,eng ENG,FW,19,0,0,0,0,0,0,0,0,0,0,Crystal-Palace-
Ademola Ola-Adebomi,eng ENG,FW,19,0,0,0,0,0,0,0,0,0,0,Crystal-Palace-
Luke Plange,eng ENG,FW,20,0,0,0,0,0,0,0,0,0,0,Crystal-Palace-
Jadan Raymond,wls WAL,MF,19,0,0,0,0,0,0,0,0,0,0,Crystal-Palace-
Kaden Rodney,eng ENG,DF,18,0,0,0,0,0,0,0,0,0,0,Crystal-Palace-
Franco Umeh-Chibueze,ie IRL,MF,18,0,0,0,0,0,0,0,0,0,0,Crystal-Palace-
Joseph Whitworth,eng ENG,GK,19,0,0,0,0,0,0,0,0,0,0,Crystal-Palace-
Squad Total,NULL,NULL,26,0,418,3420,56,43,4,73,2,48,45,Crystal-Palace-
Opponent Total,NULL,NULL,26,0,418,3420,56,46,3,78,2,52,49,Crystal-Palace-
Pascal Groß,de GER,"MF,DF",32,36,34,3114,4,10,1,6,0,6,5,Brighton-and-Hove-Albion-
Lewis Dunk,eng ENG,DF,31,33,33,2869,3,1,0,7,1,3,3,Brighton-and-Hove-Albion-
Jan Paul van Hecke,nl NED,DF,23,28,26,2369,0,0,0,4,0,1,1,Brighton-and-Hove-Albion-
Simon Adingra,ci CIV,FW,21,31,25,2222,6,1,0,3,0,4,4,Brighton-and-Hove-Albion-
Billy Gilmour,sct SCO,MF,22,30,24,2120,0,1,0,8,1,1,1,Brighton-and-Hove-Albion-
Bart Verbruggen,nl NED,GK,20,21,21,1890,0,0,0,3,0,0,0,Brighton-and-Hove-Albion-
Danny Welbeck,eng ENG,"FW,MF",32,29,21,1693,5,1,0,4,0,5,5,Brighton-and-Hove-Albion-
João Pedro,br BRA,"FW,MF",21,31,19,2045,9,3,4,2,0,11,7,Brighton-and-Hove-Albion-
Igor,br BRA,DF,25,24,17,1637,0,0,0,4,0,0,0,Brighton-and-Hove-Albion-
Joël Veltman,nl NED,DF,31,27,17,1588,1,1,0,4,0,0,0,Brighton-and-Hove-Albion-
Jason Steele,eng ENG,GK,32,17,17,1530,0,0,0,0,0,0,0,Brighton-and-Hove-Albion-
Facundo Buonanotte,ar ARG,"FW,MF",18,27,17,1364,3,1,0,7,0,2,2,Brighton-and-Hove-Albion-
Kaoru Mitoma,jp JPN,FW,26,19,15,1486,3,4,0,4,0,3,3,Brighton-and-Hove-Albion-
Evan Ferguson,ie IRL,FW,18,27,15,1367,6,0,0,1,0,4,4,Brighton-and-Hove-Albion-
Carlos Baleba,cm CMR,MF,19,27,15,1325,0,0,0,7,0,0,0,Brighton-and-Hove-Albion-
Pervis Estupiñán,ec ECU,DF,25,19,15,1243,2,3,0,4,0,1,1,Brighton-and-Hove-Albion-
Adam Webster,eng ENG,DF,28,15,13,1144,0,0,0,2,0,0,0,Brighton-and-Hove-Albion-
Adam Lallana,eng ENG,"MF,FW",35,25,13,850,0,1,0,2,0,0,0,Brighton-and-Hove-Albion-
James Milner,eng ENG,"DF,MF",37,15,11,773,0,2,0,3,0,0,0,Brighton-and-Hove-Albion-
Tariq Lamptey,gh GHA,"DF,FW",22,19,10,914,0,3,0,3,0,0,0,Brighton-and-Hove-Albion-
Jack Hinshelwood,eng ENG,DF,18,12,8,869,3,0,0,1,0,1,1,Brighton-and-Hove-Albion-
Solly March,eng ENG,"FW,DF",29,7,7,554,3,1,0,1,0,2,2,Brighton-and-Hove-Albion-
Jakub Moder,pl POL,"MF,DF",24,17,6,618,0,0,0,2,0,0,0,Brighton-and-Hove-Albion-
Mahmoud Dahoud,de GER,MF,27,9,6,452,0,1,0,1,1,0,0,Brighton-and-Hove-Albion-
Julio Enciso,py PAR,"MF,FW",19,12,5,475,0,2,0,2,0,1,1,Brighton-and-Hove-Albion-
Ansu Fati,es ESP,"MF,FW",20,19,3,521,2,0,0,2,0,3,3,Brighton-and-Hove-Albion-
Valentín Barco,ar ARG,"DF,FW",19,6,3,307,0,0,0,1,0,0,0,Brighton-and-Hove-Albion-
Odeluga Offiah,eng ENG,DF,20,4,1,128,0,0,0,0,0,0,0,Brighton-and-Hove-Albion-
Mark O'Mahony,ie IRL,FW,18,3,1,63,0,0,0,1,0,0,0,Brighton-and-Hove-Albion-
Benicio Boaitey,eng ENG,"FW,DF",19,5,0,40,0,0,0,1,0,0,0,Brighton-and-Hove-Albion-
Steven Alzate,co COL,MF,24,0,0,40,0,0,0,1,0,0,0,Brighton-and-Hove-Albion-
Bigo Atom,de GER,DF,18,0,0,40,0,0,0,1,0,0,0,Brighton-and-Hove-Albion-
Luca Barrington,eng ENG,MF,18,0,0,40,0,0,0,1,0,0,0,Brighton-and-Hove-Albion-
Samy Chouchane,tn TUN,MF,19,0,0,40,0,0,0,1,0,0,0,Brighton-and-Hove-Albion-
Josh Duffus,eng ENG,MF,18,0,0,40,0,0,0,1,0,0,0,Brighton-and-Hove-Albion-
Ben Jackson,eng ENG,DF,19,0,0,40,0,0,0,1,0,0,0,Brighton-and-Hove-Albion-
Leigh Kavanagh,ie IRL,DF,19,0,0,40,0,0,0,1,0,0,0,Brighton-and-Hove-Albion-
Cameron Peupion,au AUS,MF,20,0,0,40,0,0,0,1,0,0,0,Brighton-and-Hove-Albion-
Imari Samuels,eng ENG,DF,20,0,0,40,0,0,0,1,0,0,0,Brighton-and-Hove-Albion-
Squad Total,NULL,NULL,25,38,418,3420,50,36,5,90,3,56,52,Brighton-and-Hove-Albion-
Opponent Total,NULL,NULL,26,38,418,3420,60,42,6,99,5,55,50,Brighton-and-Hove-Albion-
Illia Zabarnyi,ua UKR,DF,20,0,37,3330,1,0,0,5,0,1,1,Bournemouth-
Dominic Solanke,eng ENG,FW,25,0,37,3325,19,3,2,3,0,19,17,Bournemouth-
Ryan Christie,sct SCO,MF,28,0,35,2907,0,5,0,6,0,2,2,Bournemouth-
Neto,br BRA,GK,34,0,32,2880,0,0,0,5,0,0,0,Bournemouth-
Lewis Cook,eng ENG,MF,26,0,32,2786,0,3,0,5,1,0,0,Bournemouth-
Marcos Senesi,ar ARG,DF,26,0,26,2242,4,5,0,13,0,2,2,Bournemouth-
Justin Kluivert,nl NED,"MF,FW",24,0,26,1916,7,1,0,5,0,6,6,Bournemouth-
Adam Smith,eng ENG,DF,32,0,25,2150,0,2,0,6,0,0,0,Bournemouth-
Marcus Tavernier,eng ENG,FW,24,0,25,2118,3,4,0,3,0,3,3,Bournemouth-
Antoine Semenyo,gh GHA,FW,23,0,25,2105,8,2,0,6,0,4,4,Bournemouth-
Milos Kerkez,hu HUN,DF,19,0,22,1970,0,1,0,4,1,1,1,Bournemouth-
Lloyd Kelly,eng ENG,DF,24,0,17,1559,0,1,0,2,0,0,0,Bournemouth-
Philip Billing,dk DEN,MF,27,0,13,1398,2,2,0,3,1,2,2,Bournemouth-
Max Aarons,eng ENG,DF,23,0,13,1237,0,1,0,1,0,0,0,Bournemouth-
Dango Ouattara,bf BFA,"FW,DF",21,0,12,1229,1,2,0,3,0,2,2,Bournemouth-
Alex Scott,eng ENG,MF,19,0,11,1014,1,1,0,3,0,0,0,Bournemouth-
Luis Sinisterra,co COL,"FW,MF",24,0,7,699,2,2,0,0,0,2,2,Bournemouth-
Chris Mepham,wls WAL,DF,25,0,6,617,0,1,0,2,0,0,0,Bournemouth-
Mark Travers,ie IRL,GK,24,0,4,360,0,0,0,0,0,0,0,Bournemouth-
Joe Rothwell,eng ENG,MF,28,0,3,386,0,0,0,0,0,0,0,Bournemouth-
Enes Ünal,tr TUR,"FW,MF",26,0,2,328,2,2,0,1,0,2,2,Bournemouth-
David Brooks,wls WAL,"FW,MF",26,0,2,282,1,1,0,1,0,2,2,Bournemouth-
Ionuț Radu,ro ROU,GK,26,0,2,180,0,0,0,0,0,0,0,Bournemouth-
Jaidon Anthony,eng ENG,FW,23,0,2,152,0,0,0,1,0,0,0,Bournemouth-
Tyler Adams,us USA,MF,24,0,1,121,0,0,0,0,0,0,0,Bournemouth-
James Hill,eng ENG,DF,21,0,1,76,0,0,0,0,0,0,0,Bournemouth-
Kieffer Moore,wls WAL,"FW,MF",30,0,0,108,1,0,0,0,0,1,1,Bournemouth-
Hamed Junior Traorè,ci CIV,MF,23,0,0,47,0,0,0,0,0,0,0,Bournemouth-
Romain Faivre,fr FRA,"MF,FW",25,0,0,41,0,0,0,1,0,0,0,Bournemouth-
Dominic Sadi,eng ENG,FW,19,0,0,1,0,0,0,0,0,0,0,Bournemouth-
Michael DaCosta,es ESP,FW,18,0,0,0,0,0,0,0,0,0,0,Bournemouth-
Ben Greenwood,ie IRL,DF,20,0,0,0,0,0,0,0,0,0,0,Bournemouth-
Gavin Kilkenny,ie IRL,MF,23,0,0,0,0,0,0,0,0,0,0,Bournemouth-
Emiliano Marcondes,dk DEN,"FW,MF",28,0,0,0,0,0,0,0,0,0,0,Bournemouth-
Callan Mckenna,sct SCO,GK,16,0,0,0,0,0,0,0,0,0,0,Bournemouth-
Darren Randolph,ie IRL,GK,36,0,0,0,0,0,0,0,0,0,0,Bournemouth-
Maxwell Wellings,eng ENG,DF,18,0,0,0,0,0,0,0,0,0,0,Bournemouth-
Squad Total,NULL,NULL,25,0,418,3420,52,39,2,79,3,55,53,Bournemouth-
Opponent Total,NULL,NULL,26,0,418,3420,66,44,6,82,2,58,52,Bournemouth-
Bernd Leno,de GER,GK,31,38,38,3420,0,0,0,3,0,0,0,Fulham-
Antonee Robinson,us USA,DF,25,37,37,3265,0,6,0,6,0,0,0,Fulham-
Andreas Pereira,br BRA,MF,27,37,34,2613,3,7,0,6,0,4,4,Fulham-
João Palhinha,pt POR,MF,28,33,31,2699,4,1,0,13,0,3,3,Fulham-
Timothy Castagne,be BEL,DF,27,34,29,2634,1,3,0,3,0,1,1,Fulham-
Calvin Bassey,ng NGA,DF,23,29,25,2303,1,0,0,6,1,0,0,Fulham-
Alex Iwobi,ng NGA,"FW,MF",27,30,25,2192,5,2,0,2,0,5,5,Fulham-
Willian,br BRA,FW,34,31,24,2053,4,2,2,1,0,5,3,Fulham-
Tosin Adarabioyo,eng ENG,DF,25,20,18,1617,2,0,0,2,0,0,0,Fulham-
Rodrigo Muniz,br BRA,FW,22,26,18,1593,9,1,0,1,0,8,8,Fulham-
Raúl Jiménez,mx MEX,FW,32,24,18,1395,7,0,0,3,1,5,5,Fulham-
Tim Ream,us USA,DF,35,18,17,1503,1,0,0,4,1,1,1,Fulham-
Bobby Reid,jm JAM,FW,30,33,17,1423,6,2,0,4,0,4,4,Fulham-
Harry Wilson,wls WAL,FW,26,35,16,1620,4,6,0,6,0,3,3,Fulham-
Issa Diop,fr FRA,DF,26,18,16,1424,0,0,0,4,1,0,0,Fulham-
Harrison Reed,eng ENG,MF,28,27,15,1325,0,2,0,6,0,0,0,Fulham-
Tom Cairney,sct SCO,MF,32,34,14,1488,1,4,0,3,0,1,1,Fulham-
Saša Lukić,rs SRB,MF,26,24,13,1122,1,0,0,3,0,1,1,Fulham-
Kenny Tete,nl NED,DF,27,14,10,867,1,0,0,2,0,0,0,Fulham-
Carlos Vinícius,br BRA,FW,28,13,2,315,2,0,0,2,0,1,1,Fulham-
Adama Traoré,es ESP,"FW,MF",27,17,1,377,2,3,0,2,0,1,1,Fulham-
Armando Broja,al ALB,FW,21,8,0,88,0,1,0,0,0,0,0,Fulham-
Luke Harris,wls WAL,MF,18,1,0,75,0,0,0,0,0,0,0,Fulham-
Fodé Ballo-Touré,sn SEN,"DF,MF",26,6,0,71,0,0,0,1,0,0,0,Fulham-
Aleksandar Mitrović,rs SRB,FW,28,1,0,33,0,0,0,0,0,0,0,Fulham-
Marek Rodák,sk SVK,GK,26,0,0,0,0,0,0,1,0,0,0,Fulham-
Luc De Fougerolles,ca CAN,DF,17,0,0,0,0,0,0,0,0,0,0,Fulham-
Matt Dibley-Dias,nz NZL,MF,19,0,0,0,0,0,0,0,0,0,0,Fulham-
Tyrese Francois,au AUS,MF,23,0,0,0,0,0,0,0,0,0,0,Fulham-
Joshua King,eng ENG,MF,16,0,0,0,0,0,0,0,0,0,0,Fulham-
Kevin Mbabu,ch SUI,DF,28,0,0,0,0,0,0,0,0,0,0,Fulham-
Kristian Sekularac,ch SUI,MF,19,0,0,0,0,0,0,0,0,0,0,Fulham-
Jay Stansfield,eng ENG,"FW,MF",20,0,0,0,0,0,0,0,0,0,0,Fulham-
Devan Tanton,co COL,DF,19,0,0,0,0,0,0,0,0,0,0,Fulham-
Squad Total,NULL,NULL,28,38,418,3420,54,40,2,84,4,50,49,Fulham-
Opponent Total,NULL,NULL,26,38,418,3420,57,36,8,65,0,62,56,Fulham-
Max Kilman,eng ENG,DF,26,38,38,3420,2,0,0,7,0,1,1,Wolverhampton-Wanderers-
Nélson Semedo,pt POR,"DF,MF",29,36,36,3084,0,1,0,10,1,1,1,Wolverhampton-Wanderers-
José Sá,pt POR,GK,30,35,35,3037,0,1,0,1,0,0,0,Wolverhampton-Wanderers-
Mario Lemina,ga GAB,MF,29,35,34,2968,4,1,0,12,1,4,4,Wolverhampton-Wanderers-
João Gomes,br BRA,MF,22,34,32,2649,2,1,0,11,0,1,1,Wolverhampton-Wanderers-
Toti Gomes,pt POR,DF,24,35,31,2772,1,3,0,7,0,1,1,Wolverhampton-Wanderers-
Matheus Cunha,br BRA,"FW,MF",24,32,29,2440,12,7,1,9,0,9,8,Wolverhampton-Wanderers-
Rayan Aït-Nouri,dz ALG,"DF,MF",22,33,29,2329,2,1,0,7,0,3,3,Wolverhampton-Wanderers-
Craig Dawson,eng ENG,DF,33,25,25,2209,1,1,0,7,0,1,1,Wolverhampton-Wanderers-
Hwang Hee-chan,kr KOR,"FW,MF",27,29,25,2119,12,3,1,6,0,7,6,Wolverhampton-Wanderers-
Pablo Sarabia,es ESP,"MF,FW",31,30,20,1745,4,7,2,5,0,5,3,Wolverhampton-Wanderers-
Pedro Neto,pt POR,"FW,MF",23,20,18,1516,2,9,0,4,0,3,3,Wolverhampton-Wanderers-
Tommy Doyle,eng ENG,MF,21,26,11,1222,0,0,0,2,0,0,0,Wolverhampton-Wanderers-
Jean-Ricner Bellegarde,fr FRA,"MF,FW",25,22,10,958,2,1,0,0,1,1,1,Wolverhampton-Wanderers-
Matt Doherty,ie IRL,"DF,MF",31,30,9,1150,1,0,0,2,0,0,0,Wolverhampton-Wanderers-
Santiago Bueno,uy URU,DF,24,12,9,822,0,0,0,1,0,0,0,Wolverhampton-Wanderers-
Boubacar Traoré,ml MLI,MF,21,24,7,819,0,0,0,4,0,0,0,Wolverhampton-Wanderers-
Hugo Bueno,es ESP,"DF,MF",20,22,7,741,0,0,0,1,0,0,0,Wolverhampton-Wanderers-
Daniel Bentley,eng ENG,GK,30,5,3,383,0,0,0,0,0,0,0,Wolverhampton-Wanderers-
Fábio Silva,pt POR,FW,21,8,3,264,0,0,0,2,0,1,1,Wolverhampton-Wanderers-
Matheus Nunes,pt POR,MF,24,2,2,179,0,0,0,2,1,0,0,Wolverhampton-Wanderers-
Leon Chiwome,eng ENG,FW,17,3,2,174,0,0,0,0,0,0,0,Wolverhampton-Wanderers-
Nathan Fraser,ie IRL,FW,18,7,1,186,0,0,0,1,0,0,0,Wolverhampton-Wanderers-
Sasa Kalajdzic,at AUT,FW,26,11,1,166,2,0,0,0,0,1,1,Wolverhampton-Wanderers-
Tawanda Chirewa,zw ZIM,"MF,FW",19,8,1,145,0,0,0,1,0,0,0,Wolverhampton-Wanderers-
Jonny Castro,es ESP,MF,29,1,0,5,0,0,0,0,0,0,0,Wolverhampton-Wanderers-
Enso Gonzalez,py PAR,"MF,DF",18,1,0,1,0,0,0,0,0,0,0,Wolverhampton-Wanderers-
Ty Barnett,eng ENG,FW,18,0,0,0,0,0,0,0,0,0,0,Wolverhampton-Wanderers-
Harvey Griffiths,eng ENG,MF,19,0,0,0,0,0,0,0,0,0,0,Wolverhampton-Wanderers-
Owen Hesketh,wls WAL,MF,20,0,0,0,0,0,0,0,0,0,0,Wolverhampton-Wanderers-
Joseph Hodge,ie IRL,MF,20,0,0,0,0,0,0,0,0,0,0,Wolverhampton-Wanderers-
Fletcher Holman,eng ENG,FW,18,0,0,0,0,0,0,0,0,0,0,Wolverhampton-Wanderers-
Justin Hubner,id IDN,DF,19,0,0,0,0,0,0,0,0,0,0,Wolverhampton-Wanderers-
Tom King,wls WAL,GK,28,0,0,0,0,0,0,0,0,0,0,Wolverhampton-Wanderers-
Noha Lemina,fr FRA,FW,18,0,0,0,0,0,0,0,0,0,0,Wolverhampton-Wanderers-
Yerson Mosquera,co COL,DF,22,0,0,0,0,0,0,0,0,0,0,Wolverhampton-Wanderers-
Temple Ojinnaka,it ITA,MF,18,0,0,0,0,0,0,0,0,0,0,Wolverhampton-Wanderers-
Wesley Okoduwa,eng ENG,FW,15,0,0,0,0,0,0,0,0,0,0,Wolverhampton-Wanderers-
Matthew Whittingham,eng ENG,MF,18,0,0,0,0,0,0,0,0,0,0,Wolverhampton-Wanderers-
Squad Total,NULL,NULL,26,38,418,3420,47,36,4,102,4,46,43,Wolverhampton-Wanderers-
Opponent Total,NULL,NULL,26,38,418,3420,64,43,8,84,3,67,61,Wolverhampton-Wanderers-
Jordan Pickford,eng ENG,GK,29,38,38,3420,0,0,0,5,0,0,0,Everton-
James Tarkowski,eng ENG,DF,30,38,38,3419,1,1,0,11,0,2,2,Everton-
Jarrad Branthwaite,eng ENG,DF,21,35,35,3116,3,0,0,8,0,1,1,Everton-
James Garner,eng ENG,MF,22,37,34,3004,1,2,0,7,0,2,2,Everton-
