Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,npxG,Team
Opponent Total,NULL,NULL,26,0,418,3420,28,20,2,82,2,27,25,Arsenal-
Virgil van Dijk,nl NED,DF,32,36,36,3177,2,2,0,3,1,2,2,Liverpool-
Luis Díaz,co COL,FW,26,37,32,2629,8,5,0,3,0,11,11,Liverpool-
Alexis Mac Allister,ar ARG,MF,24,33,31,2599,5,5,1,7,1,3,2,Liverpool-
Mohamed Salah,eg EGY,FW,31,32,28,2534,18,10,5,2,0,21,15,Liverpool-
Alisson,br BRA,GK,30,28,28,2520,0,0,0,1,0,0,0,Liverpool-
Trent Alexander-Arnold,eng ENG,DF,24,28,25,2155,3,4,0,6,0,2,2,Liverpool-
Dominik Szoboszlai,hu HUN,MF,22,33,25,2104,3,2,0,1,0,3,3,Liverpool-
Darwin Núñez,uy URU,FW,24,36,22,2047,11,8,0,9,0,16,15,Liverpool-
Wataru Endo,jp JPN,MF,30,29,20,1722,1,0,0,10,0,0,0,Liverpool-
Andrew Robertson,sct SCO,DF,29,23,18,1693,3,2,0,2,0,1,1,Liverpool-
Joe Gomez,eng ENG,DF,26,32,17,1786,0,1,0,5,0,0,0,Liverpool-
Cody Gakpo,nl NED,"FW,MF",24,35,17,1649,8,5,0,1,0,9,9,Liverpool-
Ibrahima Konaté,fr FRA,DF,24,22,17,1574,0,0,0,5,1,0,0,Liverpool-
Curtis Jones,eng ENG,MF,22,23,14,1167,1,1,0,3,1,2,2,Liverpool-
Diogo Jota,pt POR,FW,26,21,14,1145,10,3,0,3,1,5,5,Liverpool-
Jarell Quansah,eng ENG,DF,20,17,13,1190,2,0,0,1,0,1,1,Liverpool-
Ryan Gravenberch,nl NED,MF,21,26,12,1121,1,0,0,0,0,2,2,Liverpool-
Harvey Elliott,eng ENG,"MF,FW",20,34,11,1352,3,6,0,2,0,2,2,Liverpool-
Caoimhín Kelleher,ie IRL,GK,24,10,10,900,0,0,0,0,0,0,0,Liverpool-
Conor Bradley,nir NIR,DF,20,11,10,753,1,3,0,2,0,0,0,Liverpool-
Joël Matip,cm CMR,DF,31,10,9,781,0,0,0,2,0,0,0,Liverpool-
Kostas Tsimikas,gr GRE,DF,27,13,8,679,0,3,0,0,0,0,0,Liverpool-
Bobby Clark,eng ENG,MF,18,5,1,89,0,0,0,0,0,0,0,Liverpool-
Stefan Bajcetic,es ESP,MF,18,1,0,26,0,0,0,0,0,0,0,Liverpool-
Ben Doak,sct SCO,FW,17,1,0,14,0,0,0,0,0,0,0,Liverpool-
Jayden Danns,eng ENG,FW,17,2,0,9,0,0,0,1,0,0,0,Liverpool-
Owen Beck,wls WAL,DF,20,1,0,8,0,0,0,0,0,0,0,Liverpool-
Thiago Alcántara,es ESP,MF,32,1,0,6,0,0,0,0,0,0,0,Liverpool-
James McConnell,eng ENG,MF,18,3,0,4,0,0,0,0,0,0,0,Liverpool-
Kaide Gordon,eng ENG,FW,18,1,0,1,0,0,0,0,0,0,0,Liverpool-
Adrián,es ESP,GK,36,0,0,0,0,0,0,0,0,0,0,Liverpool-
Luke Chambers,eng ENG,DF,19,0,0,0,0,0,0,0,0,0,0,Liverpool-
Lewis Koumas,wls WAL,MF,17,0,0,0,0,0,0,0,0,0,0,Liverpool-
Fabian Mrozek,pl POL,GK,19,0,0,0,0,0,0,0,0,0,0,Liverpool-
Amara Nallo,eng ENG,DF,16,0,0,0,0,0,0,0,0,0,0,Liverpool-
Trey Nyoni,eng ENG,MF,16,0,0,0,0,0,0,0,0,0,0,Liverpool-
Marcelo Pitaluga,br BRA,GK,20,0,0,0,0,0,0,0,0,0,0,Liverpool-
Calum Scanlon,eng ENG,MF,18,0,0,0,0,0,0,0,0,0,0,Liverpool-
Squad Total,NULL,NULL,26,38,418,3420,80,60,6,69,5,87,80,Liverpool-
Opponent Total,NULL,NULL,26,38,418,3420,39,27,1,98,4,45,45,Liverpool-
Ollie Watkins,eng ENG,FW,27,37,37,3217,19,13,0,4,0,16,16,Aston-Villa-
Ezri Konsa,eng ENG,DF,25,35,35,3069,1,0,0,5,0,2,2,Aston-Villa-
John McGinn,sct SCO,"MF,FW",28,35,35,2999,6,4,0,9,1,5,5,Aston-Villa-
Douglas Luiz,br BRA,MF,25,35,35,2993,9,5,4,12,0,6,3,Aston-Villa-
Emiliano Martínez,ar ARG,GK,30,34,34,3015,0,0,0,4,0,0,0,Aston-Villa-
Pau Torres,es ESP,DF,26,29,27,2464,2,0,0,1,0,1,1,Aston-Villa-
Lucas Digne,fr FRA,DF,30,33,27,2410,1,3,0,7,0,1,1,Aston-Villa-
Moussa Diaby,fr FRA,"FW,MF",24,38,25,2174,6,8,0,1,0,7,7,Aston-Villa-
Matty Cash,pl POL,DF,25,29,23,2142,2,2,0,8,0,4,4,Aston-Villa-
Leon Bailey,jm JAM,"MF,FW",25,35,22,2068,10,9,0,5,0,6,6,Aston-Villa-
Diego Carlos,br BRA,DF,30,27,20,1816,0,0,0,4,0,1,1,Aston-Villa-
Boubacar Kamara,fr FRA,MF,23,20,20,1652,0,1,0,7,1,0,0,Aston-Villa-
Youri Tielemans,be BEL,"MF,FW",26,32,17,1622,2,6,0,3,0,1,1,Aston-Villa-
Clément Lenglet,fr FRA,DF,28,14,14,1153,0,1,0,3,0,0,0,Aston-Villa-
Álex Moreno,es ESP,DF,30,21,11,1031,2,0,0,2,0,1,1,Aston-Villa-
Nicolò Zaniolo,it ITA,"FW,MF",24,25,9,839,2,0,0,7,0,2,2,Aston-Villa-
Jacob Ramsey,eng ENG,"FW,MF",22,16,8,853,1,1,0,2,0,2,2,Aston-Villa-
Morgan Rogers,eng ENG,"MF,FW",21,11,8,638,3,1,0,3,0,1,1,Aston-Villa-
Robin Olsen,se SWE,GK,33,5,4,405,0,0,0,0,0,0,0,Aston-Villa-
Jhon Durán,co COL,"FW,MF",19,23,3,475,5,0,0,5,0,2,2,Aston-Villa-
Tim Iroegbunam,eng ENG,MF,20,9,1,164,0,0,0,0,0,0,0,Aston-Villa-
Calum Chambers,eng ENG,"MF,DF",28,5,1,152,0,1,0,1,0,0,0,Aston-Villa-
Leander Dendoncker,be BEL,MF,28,8,1,119,1,0,0,0,0,0,0,Aston-Villa-
Tyrone Mings,eng ENG,DF,30,1,1,30,0,0,0,0,0,0,0,Aston-Villa-
Omari Kellyman,eng ENG,FW,17,2,0,37,0,0,0,0,0,0,0,Aston-Villa-
Philippe Coutinho,br BRA,"MF,FW",31,2,0,25,0,0,0,0,0,0,0,Aston-Villa-
Bertrand Traoré,bf BFA,"DF,FW",27,2,0,11,0,0,0,0,0,0,0,Aston-Villa-
Cameron Archer,eng ENG,MF,22,1,0,6,0,0,0,1,0,0,0,Aston-Villa-
Kaine Kesler-Hayden,eng ENG,"MF,DF",20,3,0,6,0,0,0,0,0,0,0,Aston-Villa-
Finley Munroe,eng ENG,MF,18,1,0,4,0,0,0,0,0,0,0,Aston-Villa-
Jaden Philogene Bidace,eng ENG,FW,21,1,0,4,0,0,0,0,0,0,0,Aston-Villa-
Lander Emery,NULL,GK,0,0,0,0,0,0,0,0,0,0,0,Aston-Villa-
Joe Gauci,au AUS,GK,23,0,0,0,0,0,0,0,0,0,0,Aston-Villa-
Filip Marshall,eng ENG,GK,20,0,0,0,0,0,0,0,0,0,0,Aston-Villa-
Tommi O'Reilly,eng ENG,MF,19,0,0,0,0,0,0,0,0,0,0,Aston-Villa-
Sam Proctor,eng ENG,GK,16,0,0,0,0,0,0,0,0,0,0,Aston-Villa-
James Wright,eng ENG,GK,18,0,0,0,0,0,0,0,0,0,0,Aston-Villa-
Kadan Young,eng ENG,MF,17,0,0,0,0,0,0,0,0,0,0,Aston-Villa-
Oliwier Zych,pl POL,GK,19,0,0,0,0,0,0,0,0,0,0,Aston-Villa-
Squad Total,NULL,NULL,26,38,418,3420,72,55,4,94,2,63,60,Aston-Villa-
Opponent Total,NULL,NULL,26,38,418,3420,57,45,1,94,4,59,58,Aston-Villa-
Guglielmo Vicario,it ITA,GK,26,38,38,3420,0,0,0,2,0,0,0,Tottenham-Hotspur-
Pedro Porro,es ESP,DF,23,35,35,3089,3,7,0,3,0,2,2,Tottenham-Hotspur-
Son Heung-min,kr KOR,FW,31,35,34,2934,17,10,2,1,0,12,10,Tottenham-Hotspur-
Cristian Romero,ar ARG,DF,25,33,33,2790,5,0,0,7,1,3,3,Tottenham-Hotspur-
Dejan Kulusevski,se SWE,"FW,MF",23,36,31,2762,8,3,0,7,0,4,4,Tottenham-Hotspur-
Destiny Udogie,it ITA,DF,20,28,28,2391,2,3,0,7,1,2,2,Tottenham-Hotspur-
Micky van de Ven,nl NED,DF,22,27,27,2339,3,0,0,5,0,0,0,Tottenham-Hotspur-
Pape Matar Sarr,sn SEN,MF,20,34,27,2069,3,3,0,9,0,3,3,Tottenham-Hotspur-
James Maddison,eng ENG,MF,26,28,26,2135,4,9,0,5,0,6,6,Tottenham-Hotspur-
Yves Bissouma,ml MLI,MF,26,28,26,2068,0,0,0,10,2,1,1,Tottenham-Hotspur-
Brennan Johnson,wls WAL,FW,22,32,23,2085,5,10,0,3,0,10,10,Tottenham-Hotspur-
Richarlison,br BRA,FW,26,28,18,1491,11,4,0,3,0,9,9,Tottenham-Hotspur-
Rodrigo Bentancur,uy URU,MF,26,23,13,1005,1,1,0,7,0,1,1,Tottenham-Hotspur-
Ben Davies,wls WAL,DF,30,17,12,1090,1,0,0,2,0,2,2,Tottenham-Hotspur-
Emerson,br BRA,DF,24,22,11,1161,1,0,0,4,0,0,0,Tottenham-Hotspur-
Timo Werner,de GER,FW,27,13,10,809,2,3,0,1,0,3,3,Tottenham-Hotspur-
Pierre Højbjerg,dk DEN,MF,27,36,8,1311,0,0,0,4,0,0,0,Tottenham-Hotspur-
Oliver Skipp,eng ENG,"MF,DF",22,21,5,707,0,0,0,3,0,0,0,Tottenham-Hotspur-
