Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,PK,CrdY,CrdR,xG,npxG
Ethan Nwaneri,eng ENG,FW,16,0,0,14,0.2,0,0,0,0,0,0.0,0.0
Mauro Bandeira,pt POR,MF,19,0,0,0,,0,0,0,0,0,,
Bradley Ibrahim,eng ENG,MF,18,0,0,0,,0,0,0,0,0,,
Karl Jakob Hein,ee EST,GK,21,0,0,0,,0,0,0,0,0,,
Myles Lewis-Skelly,eng ENG,MF,16,0,0,0,,0,0,0,0,0,,
Charles Sagoe Jr,eng ENG,FW,19,0,0,0,,0,0,0,0,0,,
James Sweet,wls WAL,DF,19,0,0,0,,0,0,0,0,0,,
Reuell Walters,eng ENG,DF,18,0,0,0,,0,0,0,0,0,,
Squad Total,,,25,0,418,3420,38.0,86,62,10,64,2,76.1,68.5
Opponent Total,,,26,0,418,3420,38.0,28,20,2,82,2,27.9,25.7
Virgil van Dijk,nl NED,DF,32,36,36,3177,35.3,2,2,0,3,1,2.8,2.8
Luis DÃ­az,co COL,FW,26,37,32,2629,29.2,8,5,0,3,0,11.9,11.9
Alexis Mac Allister,ar ARG,MF,24,33,31,2599,28.9,5,5,1,7,1,3.7,2.9
Mohamed Salah,eg EGY,FW,31,32,28,2534,28.2,18,10,5,2,0,21.2,15.5
Alisson,br BRA,GK,30,28,28,2520,28.0,0,0,0,1,0,0.0,0.0
Trent Alexander-Arnold,eng ENG,DF,24,28,25,2155,23.9,3,4,0,6,0,2.6,2.3
Dominik Szoboszlai,hu HUN,MF,22,33,25,2104,23.4,3,2,0,1,0,3.7,3.7
Darwin NÃºÃ±ez,uy URU,FW,24,36,22,2047,22.7,11,8,0,9,0,16.3,15.5
Wataru Endo,jp JPN,MF,30,29,20,1722,19.1,1,0,0,10,0,0.5,0.5
Andrew Robertson,sct SCO,DF,29,23,18,1693,18.8,3,2,0,2,0,1.9,1.9
Joe Gomez,eng ENG,DF,26,32,17,1786,19.8,0,1,0,5,0,0.8,0.8
Cody Gakpo,nl NED,"FW,MF",24,35,17,1649,18.3,8,5,0,1,0,9.0,9.0
Ibrahima KonatÃ©,fr FRA,DF,24,22,17,1574,17.5,0,0,0,5,1,0.7,0.7
Curtis Jones,eng ENG,MF,22,23,14,1167,13.0,1,1,0,3,1,2.6,2.6
Diogo Jota,pt POR,FW,26,21,14,1145,12.7,10,3,0,3,1,5.3,5.3
Jarell Quansah,eng ENG,DF,20,17,13,1190,13.2,2,0,0,1,0,1.0,1.0
Ryan Gravenberch,nl NED,MF,21,26,12,1121,12.5,1,0,0,0,0,2.0,2.0
Harvey Elliott,eng ENG,"MF,FW",20,34,11,1352,15.0,3,6,0,2,0,2.7,2.7
CaoimhÃ­n Kelleher,ie IRL,GK,24,10,10,900,10.0,0,0,0,0,0,0.0,0.0
Conor Bradley,nir NIR,DF,20,11,10,753,8.4,1,3,0,2,0,0.9,0.9
JoÃ«l Matip,cm CMR,DF,31,10,9,781,8.7,0,0,0,2,0,0.5,0.5
Kostas Tsimikas,gr GRE,DF,27,13,8,679,7.5,0,3,0,0,0,0.1,0.1
Bobby Clark,eng ENG,MF,18,5,1,89,1.0,0,0,0,0,0,0.1,0.1
Stefan Bajcetic,es ESP,MF,18,1,0,26,0.3,0,0,0,0,0,0.0,0.0
Ben Doak,sct SCO,FW,17,1,0,14,0.2,0,0,0,0,0,0.0,0.0
Jayden Danns,eng ENG,FW,17,2,0,9,0.1,0,0,0,1,0,0.0,0.0
Owen Beck,wls WAL,DF,20,1,0,8,0.1,0,0,0,0,0,0.0,0.0
Thiago AlcÃ¡ntara,es ESP,MF,32,1,0,6,0.1,0,0,0,0,0,0.0,0.0
James McConnell,eng ENG,MF,18,3,0,4,0.0,0,0,0,0,0,0.0,0.0
Kaide Gordon,eng ENG,FW,18,1,0,1,0.0,0,0,0,0,0,0.0,0.0
AdriÃ¡n,es ESP,GK,36,0,0,0,,0,0,0,0,0,,
Luke Chambers,eng ENG,DF,19,0,0,0,,0,0,0,0,0,,
Lewis Koumas,wls WAL,MF,17,0,0,0,,0,0,0,0,0,,
Fabian Mrozek,pl POL,GK,19,0,0,0,,0,0,0,0,0,,
Amara Nallo,eng ENG,DF,16,0,0,0,,0,0,0,0,0,,
Trey Nyoni,eng ENG,MF,16,0,0,0,,0,0,0,0,0,,
Marcelo Pitaluga,br BRA,GK,20,0,0,0,,0,0,0,0,0,,
Calum Scanlon,eng ENG,MF,18,0,0,0,,0,0,0,0,0,,
Squad Total,,,26,38,418,3420,38.0,80,60,6,69,5,87.8,80.4
Opponent Total,,,26,38,418,3420,38.0,39,27,1,98,4,45.7,45.0
Ollie Watkins,eng ENG,FW,27,37,37,3217,35.7,19,13,0,4,0,16.8,16.8
Ezri Konsa,eng ENG,DF,25,35,35,3069,34.1,1,0,0,5,0,2.5,2.5
John McGinn,sct SCO,"MF,FW",28,35,35,2999,33.3,6,4,0,9,1,5.0,5.0
Douglas Luiz,br BRA,MF,25,35,35,2993,33.3,9,5,4,12,0,6.9,3.8
Emiliano MartÃ­nez,ar ARG,GK,30,34,34,3015,33.5,0,0,0,4,0,0.0,0.0
Pau Torres,es ESP,DF,26,29,27,2464,27.4,2,0,0,1,0,1.0,1.0
Lucas Digne,fr FRA,DF,30,33,27,2410,26.8,1,3,0,7,0,1.1,1.1
Moussa Diaby,fr FRA,"FW,MF",24,38,25,2174,24.2,6,8,0,1,0,7.0,7.0
Matty Cash,pl POL,DF,25,29,23,2142,23.8,2,2,0,8,0,4.2,4.2
Leon Bailey,jm JAM,"MF,FW",25,35,22,2068,23.0,10,9,0,5,0,6.3,6.3
Diego Carlos,br BRA,DF,30,27,20,1816,20.2,0,0,0,4,0,1.9,1.9
Boubacar Kamara,fr FRA,MF,23,20,20,1652,18.4,0,1,0,7,1,0.1,0.1
Youri Tielemans,be BEL,"MF,FW",26,32,17,1622,18.0,2,6,0,3,0,1.3,1.3
ClÃ©ment Lenglet,fr FRA,DF,28,14,14,1153,12.8,0,1,0,3,0,0.9,0.9
Ãlex Moreno,es ESP,DF,30,21,11,1031,11.5,2,0,0,2,0,1.1,1.1
NicolÃ² Zaniolo,it ITA,"FW,MF",24,25,9,839,9.3,2,0,0,7,0,2.6,2.6
Jacob Ramsey,eng ENG,"FW,MF",22,16,8,853,9.5,1,1,0,2,0,2.2,2.2
Morgan Rogers,eng ENG,"MF,FW",21,11,8,638,7.1,3,1,0,3,0,1.4,1.4
Robin Olsen,se SWE,GK,33,5,4,405,4.5,0,0,0,0,0,0.0,0.0
Jhon DurÃ¡n,co COL,"FW,MF",19,23,3,475,5.3,5,0,0,5,0,2.0,2.0
Tim Iroegbunam,eng ENG,MF,20,9,1,164,1.8,0,0,0,0,0,0.0,0.0
Calum Chambers,eng ENG,"MF,DF",28,5,1,152,1.7,0,1,0,1,0,0.0,0.0
Leander Dendoncker,be BEL,MF,28,8,1,119,1.3,1,0,0,0,0,0.7,0.7
Tyrone Mings,eng ENG,DF,30,1,1,30,0.3,0,0,0,0,0,0.0,0.0
Omari Kellyman,eng ENG,FW,17,2,0,37,0.4,0,0,0,0,0,0.1,0.1
Philippe Coutinho,br BRA,"MF,FW",31,2,0,25,0.3,0,0,0,0,0,0.1,0.1
Bertrand TraorÃ©,bf BFA,"DF,FW",27,2,0,11,0.1,0,0,0,0,0,0.0,0.0
Cameron Archer,eng ENG,MF,22,1,0,6,0.1,0,0,0,1,0,0.0,0.0
Kaine Kesler-Hayden,eng ENG,"MF,DF",20,3,0,6,0.1,0,0,0,0,0,0.0,0.0
Finley Munroe,eng ENG,MF,18,1,0,4,0.0,0,0,0,0,0,0.0,0.0
Jaden Philogene Bidace,eng ENG,FW,21,1,0,4,0.0,0,0,0,0,0,0.0,0.0
Lander Emery,,GK,0,0,0,0,,0,0,0,0,0,,
Joe Gauci,au AUS,GK,23,0,0,0,,0,0,0,0,0,,
Filip Marshall,eng ENG,GK,20,0,0,0,,0,0,0,0,0,,
Tommi O'Reilly,eng ENG,MF,19,0,0,0,,0,0,0,0,0,,
Sam Proctor,eng ENG,GK,16,0,0,0,,0,0,0,0,0,,
James Wright,eng ENG,GK,18,0,0,0,,0,0,0,0,0,,
Kadan Young,eng ENG,MF,17,0,0,0,,0,0,0,0,0,,
Oliwier Zych,pl POL,GK,19,0,0,0,,0,0,0,0,0,,
Squad Total,,,26,38,418,3420,38.0,72,55,4,94,2,63.3,60.3
Opponent Total,,,26,38,418,3420,38.0,57,45,1,94,4,59.9,58.2
Guglielmo Vicario,it ITA,GK,26,38,38,3420,38.0,0,0,0,2,0,0.0,0.0
Pedro Porro,es ESP,DF,23,35,35,3089,34.3,3,7,0,3,0,2.9,2.9
Son Heung-min,kr KOR,FW,31,35,34,2934,32.6,17,10,2,1,0,12.0,10.4
Cristian Romero,ar ARG,DF,25,33,33,2790,31.0,5,0,0,7,1,3.5,3.5
Dejan Kulusevski,se SWE,"FW,MF",23,36,31,2762,30.7,8,3,0,7,0,4.7,4.7
Destiny Udogie,it ITA,DF,20,28,28,2391,26.6,2,3,0,7,1,2.4,2.4
Micky van de Ven,nl NED,DF,22,27,27,2339,26.0,3,0,0,5,0,0.6,0.6
Pape Matar Sarr,sn SEN,MF,20,34,27,2069,23.0,3,3,0,9,0,3.4,3.4
James Maddison,eng ENG,MF,26,28,26,2135,23.7,4,9,0,5,0,6.4,6.4
Yves Bissouma,ml MLI,MF,26,28,26,2068,23.0,0,0,0,10,2,1.4,1.4
Brennan Johnson,wls WAL,FW,22,32,23,2085,23.2,5,10,0,3,0,10.3,10.3
Richarlison,br BRA,FW,26,28,18,1491,16.6,11,4,0,3,0,9.6,9.6
Rodrigo Bentancur,uy URU,MF,26,23,13,1005,11.2,1,1,0,7,0,1.9,1.9
Ben Davies,wls WAL,DF,30,17,12,1090,12.1,1,0,0,2,0,2.3,2.3
Emerson,br BRA,DF,24,22,11,1161,12.9,1,0,0,4,0,0.2,0.2
Timo Werner,de GER,FW,27,13,10,809,9.0,2,3,0,1,0,3.7,3.7
Pierre HÃ¸jbjerg,dk DEN,MF,27,36,8,1311,14.6,0,0,0,4,0,0.7,0.7
Oliver Skipp,eng ENG,"MF,DF",22,21,5,707,7.9,0,0,0,3,0,0.7,0.7
Giovani Lo Celso,ar ARG,MF,27,22,4,506,5.6,2,2,0,2,0,0.6,0.6
Radu DrÄƒguÈ™in,ro ROU,DF,21,9,4,429,4.8,0,0,0,1,0,0.1,0.1
Bryan Gil,es ESP,"FW,MF",22,11,2,209,2.3,0,0,0,0,0,0.8,0.8
Manor Solomon,il ISR,FW,24,5,2,199,2.2,0,2,0,1,0,0.4,0.4
Eric Dier,eng ENG,DF,29,4,1,201,2.2,0,0,0,0,0,0.0,0.0
Ivan PeriÅ¡iÄ‡,hr CRO,FW,34,5,0,103,1.1,0,1,0,2,0,0.1,0.1
Davinson SÃ¡nchez,co COL,DF,27,1,0,77,0.9,0,0,0,1,0,0.1,0.1
Alejo VÃ©liz,ar ARG,FW,19,8,0,50,0.6,1,0,0,1,0,0.2,0.2
Dane Scarlett,eng ENG,FW,19,4,0,22,0.2,0,0,0,0,0,0.0,0.0
Mikey Moore,eng ENG,MF,15,2,0,4,0.0,0,0,0,0,0,0.0,0.0
Jamie Donley,eng ENG,FW,18,3,0,3,0.0,0,0,0,1,0,0.0,0.0
Brandon Austin,eng ENG,GK,24,0,0,0,,0,0,0,0,0,,
Alfie Dorrington,eng ENG,DF,18,0,0,0,,0,0,0,0,0,,
Fraser Forster,eng ENG,GK,35,0,0,0,,0,0,0,0,0,,
Tyrese Hall,eng ENG,MF,17,0,0,0,,0,0,0,0,0,,
Ashley Phillips,wls WAL,DF,18,0,0,0,,0,0,0,0,0,,
Yago Santiago,es ESP,"FW,MF",20,0,0,0,,0,0,0,0,0,,
Alfie Whiteman,eng ENG,GK,24,0,0,0,,0,0,0,0,0,,
Squad Total,,,25,38,418,3420,38.0,69,58,2,92,4,68.2,66.7
Opponent Total,,,26,38,418,3420,38.0,58,39,7,100,4,63.4,58.4
Conor Gallagher,eng ENG,MF,23,37,37,3128,34.8,5,7,0,9,1,4.2,4.2
MoisÃ©s Caicedo,ec ECU,MF,21,35,33,2866,31.8,1,3,0,11,0,0.4,0.4
Nicolas Jackson,sn SEN,FW,22,35,31,2799,31.1,14,5,0,10,0,18.6,18.6
Cole Palmer,eng ENG,"FW,MF",21,33,29,2607,29.0,22,11,9,7,0,18.2,11.1
Axel Disasi,fr FRA,DF,25,31,29,2579,28.7,2,0,0,6,0,2.4,2.4
Thiago Silva,br BRA,DF,38,31,28,2527,28.1,3,1,0,4,0,0.8,0.8
Enzo FernÃ¡ndez,ar ARG,MF,22,28,26,2209,24.5,3,2,1,7,0,6.2,4.6
ÄorÄ‘e PetroviÄ‡,rs SRB,GK,23,23,22,1987,22.1,0,0,0,2,0,0.0,0.0
Raheem Sterling,eng ENG,"FW,MF",28,31,22,1978,22.0,8,4,0,7,0,6.5,6.5
Levi Colwill,eng ENG,DF,20,23,20,1797,20.0,1,1,0,2,0,1.3,1.3
Marc Cucurella,es ESP,DF,25,21,20,1782,19.8,0,2,0,10,0,1.1,1.1
Malo Gusto,fr FRA,DF,20,27,19,1751,19.5,0,6,0,7,1,0.9,0.9
Mykhailo Mudryk,ua UKR,FW,22,31,18,1576,17.5,5,2,0,5,0,4.4,4.4
Robert SÃ¡nchez,es ESP,GK,25,16,16,1433,15.9,0,0,0,2,0,0.0,0.0
BenoÃ®t Badiashile,fr FRA,DF,22,18,15,1338,14.9,0,1,0,3,0,0.3,0.3
Noni Madueke,eng ENG,FW,21,23,13,1053,11.7,5,2,1,2,0,2.5,1.7
Trevoh Chalobah,eng ENG,DF,24,13,10,952,10.6,1,0,0,1,0,0.2,0.2
Ben Chilwell,eng ENG,DF,26,13,9,756,8.4,0,1,0,5,0,1.2,1.2
Armando Broja,al ALB,FW,21,13,6,454,5.0,1,0,0,0,0,2.4,2.4
Reece James,eng ENG,DF,23,10,5,419,4.7,0,2,0,2,2,0.3,0.3
Lesley Ugochukwu,fr FRA,MF,19,12,3,301,3.3,0,0,0,2,0,0.0,0.0
Christopher Nkunku,fr FRA,"FW,MF",25,11,2,443,4.9,3,0,0,0,0,2.3,2.3
Carney Chukwuemeka,eng ENG,"MF,FW",19,9,2,227,2.5,1,1,0,2,0,0.2,0.2
Alfie Gilchrist,eng ENG,DF,19,11,2,207,2.3,1,0,0,1,0,0.3,0.3
Ian Maatsen,nl NED,"FW,MF",21,12,1,209,2.3,0,0,0,1,0,0.8,0.8
Cesare Casadei,it ITA,"FW,MF",20,11,0,79,0.9,0,0,0,0,0,0.0,0.0
RomÃ©o Lavia,be BEL,MF,19,1,0,33,0.4,0,0,0,0,0,0.0,0.0
Deivid Washington,br BRA,"DF,FW",18,2,0,13,0.1,0,0,0,0,0,0.5,0.5
Mason Burstow,eng ENG,FW,19,2,0,9,0.1,0,0,0,0,0,0.0,0.0
Joshua Acheampong,eng ENG,DF,17,1,0,6,0.1,0,0,0,0,0,0.0,0.0
Alex Matos,eng ENG,MF,18,1,0,1,0.0,0,0,0,0,0,0.0,0.0
Jimi Tauriainen,eng ENG,FW,19,1,0,1,0.0,0,0,0,0,0,0.0,0.0
Marcus Bettinelli,eng ENG,GK,31,0,0,0,0.0,0,0,0,1,0,,
Eddie Beach,wls WAL,GK,19,0,0,0,,0,0,0,0,0,,
Lucas BergstrÃ¶m,fi FIN,GK,20,0,0,0,,0,0,0,0,0,,
Joshua Brooking,eng ENG,DF,20,0,0,0,,0,0,0,0,0,,
Leo Castledine,eng ENG,MF,17,0,0,0,,0,0,0,0,0,,
Ted Curd,eng ENG,GK,17,0,0,0,,0,0,0,0,0,,
Kiano Dyer,eng ENG,MF,16,0,0,0,,0,0,0,0,0,,
