Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,npxG,Team,total_points,clean_sheets,saves,bonus,influence,creativity,threat,price,selected_by_percent,form,points_per_game
Facundo Buonanotte,,MID,,,,45,0,0,,0,0,,,Chelsea,1,0,0,0,5.6,25.1,8.0,4.8,0.1,0.2,1.0
Robert Lynch Sánchez,,GKP,,,,364,0,0,,0,1,,,Chelsea,16,2,12,1,81.4,0.0,0.0,5.0,19.6,1.7,3.2
Filip Jörgensen,,GKP,,,,84,0,0,,0,0,,,Chelsea,1,0,1,0,9.4,0.0,0.0,4.4,0.2,0.3,1.0
Mike Penders,,GKP,,,,0,0,0,,0,0,,,Chelsea,0,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Gabriel Słonina,,GKP,,,,0,0,0,,0,0,,,Chelsea,0,0,0,0,0.0,0.0,0.0,4.0,0.1,0.0,0.0
Marc Cucurella Saseta,,DEF,,,,356,0,1,,1,0,,,Chelsea,20,2,0,2,84.2,80.6,40.0,6.2,26.2,2.3,4.0
Reece James,,DEF,,,,243,0,1,,1,0,,,Chelsea,12,1,0,0,57.0,98.5,13.0,5.4,4.4,2.0,2.4
Trevoh Chalobah,,DEF,,,,428,2,1,,1,0,,,Chelsea,38,2,0,2,180.4,34.3,76.0,5.1,9.7,8.0,7.6
Levi Samuels Colwill,,DEF,,,,0,0,0,,0,0,,,Chelsea,0,0,0,0,0.0,0.0,0.0,4.8,0.1,0.0,0.0
Malo Gusto,,DEF,,,,195,0,0,,0,0,,,Chelsea,10,1,0,0,23.4,21.3,9.0,4.9,1.4,2.3,2.5
Benoît Badiashile Mukinayi,,DEF,,,,0,0,0,,0,0,,,Chelsea,0,0,0,0,0.0,0.0,0.0,4.4,0.0,0.0,0.0
Wesley Fofana,,DEF,,,,129,0,0,,0,0,,,Chelsea,3,0,0,0,27.2,4.3,0.0,4.4,0.2,0.7,1.0
Mamadou Sarr,,DEF,,,,0,0,0,,0,0,,,Chelsea,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Tosin Adarabioyo,,DEF,,,,353,0,0,,1,0,,,Chelsea,11,1,0,0,99.0,6.4,11.0,4.5,1.1,3.0,2.8
Josh Acheampong,,DEF,,,,90,0,0,,0,0,,,Chelsea,9,1,0,3,16.2,2.3,10.0,4.0,1.5,0.0,9.0
Aarón Anselmino,,DEF,,,,0,0,0,,0,0,,,Chelsea,0,0,0,0,0.0,0.0,0.0,4.0,0.1,0.0,0.0
Cole Palmer,,MID,,,,144,1,0,,0,0,,,Chelsea,11,1,0,1,44.4,19.2,65.0,10.4,20.0,2.7,3.7
Pedro Lomba Neto,,MID,,,,356,1,0,,0,0,,,Chelsea,16,2,0,0,71.6,123.6,64.0,7.0,4.7,2.0,3.2
Enzo Fernández,,MID,,,,438,2,2,,1,0,,,Chelsea,30,2,0,1,131.8,105.8,84.0,6.7,13.1,5.7,6.0
Estêvão Almeida de Oliveira Gonçalves,,MID,,,,184,0,1,,1,0,,,Chelsea,9,1,0,0,37.0,37.6,62.0,6.5,2.0,1.3,2.2
Jamie Bynoe-Gittens,,MID,,,,143,0,0,,0,0,,,Chelsea,4,0,0,0,12.2,40.0,32.0,6.2,0.1,0.7,1.0
Christopher Nkunku,,MID,,,,0,0,0,,0,0,,,Chelsea,0,0,0,0,0.0,0.0,0.0,5.9,0.1,0.0,0.0
Moisés Caicedo Corozo,,MID,,,,450,2,0,,1,0,,,Chelsea,33,2,0,4,179.0,48.5,33.0,5.6,10.8,6.7,6.6
Tyrique George,,MID,,,,137,0,0,,2,0,,,Chelsea,3,1,0,0,8.2,7.0,52.0,4.9,0.1,1.0,1.0
Roméo Lavia,,MID,,,,0,0,0,,0,0,,,Chelsea,0,0,0,0,0.0,0.0,0.0,4.9,0.0,0.0,0.0
Mykhailo Mudryk,,MID,,,,0,0,0,,0,0,,,Chelsea,0,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Andrey Nascimento dos Santos,,MID,,,,117,0,0,,1,0,,,Chelsea,4,0,0,0,15.2,32.4,32.0,4.5,0.3,0.7,1.0
Dário Luís Essugo,,MID,,,,0,0,0,,0,0,,,Chelsea,0,0,0,0,0.0,0.0,0.0,4.4,0.0,0.0,0.0
Kendry Páez Andrade,,MID,,,,0,0,0,,0,0,,,Chelsea,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
João Pedro Junqueira de Jesus,,FWD,,,,420,2,3,,0,0,,,Chelsea,35,2,0,8,154.6,83.2,128.0,7.8,67.2,6.0,7.0
Liam Delap,,FWD,,,,91,0,0,,0,0,,,Chelsea,4,0,0,0,8.0,3.5,43.0,6.3,1.2,0.3,1.3
Nicolas Jackson,,FWD,,,,0,0,0,,0,0,,,Chelsea,0,0,0,0,0.0,0.0,0.0,6.5,0.1,0.0,0.0
Marc Guiu Paz,,FWD,,,,13,0,0,,0,0,,,Chelsea,2,0,0,0,1.0,1.6,6.0,4.3,9.3,0.3,1.0
Alejandro Garnacho Ferreyra,,MID,,,,11,0,0,,0,0,,,Chelsea,1,0,0,0,2.0,10.5,6.0,6.4,0.3,0.2,1.0
Jorrel Hato,,DEF,,,,66,0,0,,2,0,,,Chelsea,0,0,0,0,1.2,2.5,2.0,4.8,0.2,0.0,0.0
Dean Henderson,,GKP,,,,450,0,0,,1,0,,,Crystal Palace,22,3,8,0,81.2,10.0,0.0,5.0,8.0,4.0,4.4
Walter Benítez,,GKP,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.0,0.4,0.0,0.0
Remi Matthews,,GKP,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.0,0.1,0.0,0.0
Daniel Muñoz Mejía,,DEF,,,,450,0,1,,2,0,,,Crystal Palace,26,3,0,1,81.8,65.5,72.0,5.6,13.5,5.2,5.2
Maxence Lacroix,,DEF,,,,450,0,1,,1,0,,,Crystal Palace,30,3,0,2,118.8,15.6,34.0,5.1,4.2,5.5,6.0
Tyrick Mitchell,,DEF,,,,450,1,0,,2,0,,,Crystal Palace,30,3,0,2,134.2,107.3,37.0,5.0,1.9,5.2,6.0
Borna Sosa,,DEF,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.9,0.1,0.0,0.0
Marc Guéhi,,DEF,,,,450,1,1,,0,0,,,Crystal Palace,36,3,0,3,118.2,26.5,35.0,4.7,24.5,7.5,7.2
Chris Richards,,DEF,,,,450,0,0,,0,0,,,Crystal Palace,26,3,0,0,122.6,21.5,18.0,4.5,2.3,5.0,5.2
Chadi Riad Dnanou,,DEF,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Nathaniel Clyne,,DEF,,,,4,0,0,,0,0,,,Crystal Palace,1,0,0,0,3.4,0.5,0.0,4.0,0.5,0.2,1.0
Rob Holding,,DEF,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Caleb Kporha,,DEF,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Ismaïla Sarr,,MID,,,,270,2,0,,1,0,,,Crystal Palace,18,2,0,1,83.4,20.6,57.0,6.4,2.6,3.8,6.0
Cheick Doucouré,,MID,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.9,0.0,0.0,0.0
Romain Esse,,MID,,,,24,0,0,,0,0,,,Crystal Palace,1,0,0,0,4.6,0.4,2.0,4.8,0.2,0.2,1.0
Will Hughes,,MID,,,,383,0,0,,3,0,,,Crystal Palace,10,3,0,0,50.8,73.6,14.0,4.9,0.1,2.0,2.0
Daichi Kamada,,MID,,,,265,0,1,,0,0,,,Crystal Palace,11,2,0,0,44.0,66.8,33.0,5.0,0.1,2.8,3.7
Jefferson Lerma Solís,,MID,,,,155,0,0,,1,0,,,Crystal Palace,6,1,0,0,18.2,18.7,40.0,4.9,0.1,1.2,1.2
Adam Wharton,,MID,,,,300,0,1,,0,0,,,Crystal Palace,13,1,0,2,37.2,91.4,2.0,5.0,0.4,2.5,3.2
Asher Agbinone,,MID,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.5,0.1,0.0,0.0
Naouirou Ahamada,,MID,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Justin Devenny,,MID,,,,142,0,0,,0,0,,,Crystal Palace,6,0,0,0,15.0,31.3,36.0,4.5,1.4,1.2,1.2
Malcolm Ebiowei,,MID,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Jesurun Rak-Sakyi,,MID,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.4,0.1,0.0,0.0
Matheus França de Oliveira,,MID,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
David Ozoh,,MID,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Kaden Rodney,,MID,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Franco Umeh-Chibueze,,MID,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Jean-Philippe Mateta,,FWD,,,,441,2,0,,2,0,,,Crystal Palace,16,3,0,0,102.6,9.6,150.0,7.6,11.3,3.8,3.2
Eddie Nketiah,,FWD,,,,15,0,0,,0,0,,,Crystal Palace,1,0,0,0,3.4,10.4,7.0,5.4,0.2,0.2,1.0
Odsonne Édouard,,FWD,,,,2,0,0,,0,0,,,Crystal Palace,1,0,0,0,2.0,0.0,0.0,5.0,0.4,0.2,1.0
Zach Marsh,,FWD,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.5,0.3,0.0,0.0
Rio Cardines,,MID,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.5,0.2,0.0,0.0
Yéremy Pino Santos,,MID,,,,147,0,0,,0,0,,,Crystal Palace,5,1,0,0,8.8,41.0,23.0,6.0,0.2,1.7,1.7
Jaydee Canvot,,DEF,,,,0,0,0,,0,0,,,Crystal Palace,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Christantus Uche,,FWD,,,,6,0,0,,0,0,,,Crystal Palace,1,0,0,0,3.4,0.8,19.0,5.5,0.0,0.5,1.0
Kiernan Dewsbury-Hall,,MID,,,,450,1,1,,4,0,,,Everton,19,2,0,3,92.6,183.6,45.0,5.0,4.9,4.2,3.8
Jordan Pickford,,GKP,,,,450,0,0,,0,0,,,Everton,25,2,10,3,108.0,0.0,0.0,5.5,11.4,5.8,5.0
Mark Travers,,GKP,,,,0,0,0,,0,0,,,Everton,0,0,0,0,0.0,0.0,0.0,4.5,0.1,0.0,0.0
Harry Tyrer,,GKP,,,,0,0,0,,0,0,,,Everton,0,0,0,0,0.0,0.0,0.0,4.0,0.1,0.0,0.0
Jarrad Branthwaite,,DEF,,,,0,0,0,,0,0,,,Everton,0,0,0,0,0.0,0.0,0.0,5.3,0.2,0.0,0.0
James Tarkowski,,DEF,,,,450,0,0,,0,0,,,Everton,26,2,0,0,131.2,21.3,17.0,5.5,7.3,5.5,5.2
Vitalii Mykolenko,,DEF,,,,175,0,0,,0,0,,,Everton,2,0,0,0,19.2,16.7,6.0,4.9,0.4,0.5,1.0
Jake O'Brien,,DEF,,,,450,0,0,,0,0,,,Everton,16,2,0,0,53.2,36.0,20.0,5.0,0.5,3.5,3.2
Séamus Coleman,,DEF,,,,1,0,0,,0,0,,,Everton,1,0,0,0,0.0,0.0,0.0,4.4,0.1,0.2,1.0
Michael Keane,,DEF,,,,450,0,0,,0,0,,,Everton,20,2,0,0,94.8,12.4,40.0,4.5,0.7,4.5,4.0
Nathan Patterson,,DEF,,,,0,0,0,,0,0,,,Everton,0,0,0,0,0.0,0.0,0.0,4.4,0.0,0.0,0.0
Roman Dixon,,DEF,,,,0,0,0,,0,0,,,Everton,0,0,0,0,0.0,0.0,0.0,4.0,0.2,0.0,0.0
Reece Welch,,DEF,,,,0,0,0,,0,0,,,Everton,0,0,0,0,0.0,0.0,0.0,3.9,0.1,0.0,0.0
Iliman Ndiaye,,MID,,,,418,2,1,,1,0,,,Everton,28,2,0,0,142.0,91.1,81.0,6.5,9.4,6.5,5.6
Dwight McNeil,,MID,,,,19,0,0,,0,0,,,Everton,1,0,0,0,0.0,11.3,8.0,5.7,0.2,0.2,1.0
Carlos Alcaraz Durán,,MID,,,,117,0,0,,1,0,,,Everton,4,0,0,0,14.6,4.8,21.0,5.3,0.1,0.8,1.0
Idrissa Gana Gueye,,MID,,,,435,1,0,,0,0,,,Everton,20,2,0,1,82.0,47.9,58.0,5.4,0.1,4.5,4.0
James Garner,,MID,,,,450,1,0,,1,0,,,Everton,25,2,0,3,129.8,93.0,15.0,5.0,0.6,5.8,5.0
Tim Iroegbunam,,MID,,,,219,0,0,,3,0,,,Everton,7,3,0,0,32.4,5.1,5.0,4.9,0.0,1.2,1.8
Harrison Armstrong,,MID,,,,1,0,0,,0,0,,,Everton,1,0,0,0,0.0,0.0,0.0,4.5,0.1,0.2,1.0
Callum Bates,,MID,,,,0,0,0,,0,0,,,Everton,0,0,0,0,0.0,0.0,0.0,4.5,0.1,0.0,0.0
Coby Ebere,,MID,,,,0,0,0,,0,0,,,Everton,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Isaac Heath,,MID,,,,0,0,0,,0,0,,,Everton,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Jenson Metcalfe,,MID,,,,0,0,0,,0,0,,,Everton,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Thierno Barry,,FWD,,,,141,0,0,,0,0,,,Everton,6,1,0,0,6.6,8.6,29.0,5.8,0.4,1.2,1.2
Norberto Bercique Gomes Betuncal,,FWD,,,,310,1,0,,1,0,,,Everton,12,1,0,1,42.4,18.4,91.0,5.4,5.0,2.5,2.4
Youssef Ramalho Chermiti,,FWD,,,,0,0,0,,0,0,,,Everton,0,0,0,0,0.0,0.0,0.0,4.9,0.1,0.0,0.0
Martin Sherif,,FWD,,,,0,0,0,,0,0,,,Everton,0,0,0,0,0.0,0.0,0.0,4.4,0.2,0.0,0.0
Jack Grealish,,MID,,,,376,0,4,,2,0,,,Everton,25,2,0,4,148.6,178.0,121.0,6.8,22.6,6.0,5.0
Tom King,,GKP,,,,0,0,0,,0,0,,,Everton,0,0,0,0,0.0,0.0,0.0,4.0,1.3,0.0,0.0
Adam Aznou,,DEF,,,,0,0,0,,0,0,,,Everton,0,0,0,0,0.0,0.0,0.0,4.4,0.1,0.0,0.0
Tyler Onyango,,MID,,,,0,0,0,,0,0,,,Everton,0,0,0,0,0.0,0.0,0.0,4.5,0.1,0.0,0.0
Elijah Campbell,,DEF,,,,0,0,0,,0,0,,,Everton,0,0,0,0,0.0,0.0,0.0,4.0,0.2,0.0,0.0
Tyler Dibling,,MID,,,,4,0,0,,0,0,,,Everton,1,0,0,0,0.0,0.5,0.0,5.5,0.0,0.3,1.0
Merlin Röhl,,MID,,,,24,0,0,,0,0,,,Everton,1,0,0,0,3.0,10.7,1.0,5.0,0.0,0.5,1.0
Bernd Leno,,GKP,,,,450,0,0,,1,0,,,Fulham,17,1,15,1,119.4,0.0,0.0,5.0,1.6,3.5,3.4
Steven Benda,,GKP,,,,0,0,0,,0,0,,,Fulham,0,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Antonee Robinson,,DEF,,,,51,0,0,,0,0,,,Fulham,2,0,0,0,11.8,21.5,4.0,5.0,0.8,0.5,1.0
Joachim Andersen,,DEF,,,,450,0,0,,0,0,,,Fulham,23,1,0,2,123.2,27.4,29.0,4.5,3.8,5.2,4.6
Calvin Bassey,,DEF,,,,450,0,0,,1,0,,,Fulham,17,1,0,3,80.8,7.5,9.0,4.5,0.6,4.0,3.4
Timothy Castagne,,DEF,,,,126,0,0,,0,0,,,Fulham,3,0,0,0,14.8,19.1,28.0,4.4,0.1,0.5,1.0
Issa Diop,,DEF,,,,0,0,0,,0,0,,,Fulham,0,0,0,0,0.0,0.0,0.0,4.4,0.1,0.0,0.0
Jorge Cuenca Barreno,,DEF,,,,87,0,0,,0,0,,,Fulham,3,0,0,0,14.6,1.2,4.0,4.4,0.0,0.2,1.5
Kenny Tete,,DEF,,,,450,0,0,,0,0,,,Fulham,15,1,0,0,86.8,40.5,14.0,4.5,0.2,3.2,3.0
Samuel Amissah,,DEF,,,,0,0,0,,0,0,,,Fulham,0,0,0,0,0.0,0.0,0.0,3.9,0.1,0.0,0.0
Alex Iwobi,,MID,,,,392,1,2,,1,0,,,Fulham,26,1,0,5,100.6,113.8,38.0,6.5,1.6,6.0,5.2
Emile Smith Rowe,,MID,,,,95,1,0,,0,0,,,Fulham,10,0,0,0,40.0,23.0,40.0,5.9,0.7,2.2,2.0
Adama Traoré Diarra,,MID,,,,60,0,0,,0,0,,,Fulham,3,0,0,0,4.2,16.1,12.0,5.3,0.2,0.5,1.0
Andreas Hoelgebaum Pereira,,MID,,,,0,0,0,,0,0,,,Fulham,0,0,0,0,0.0,0.0,0.0,5.3,0.1,0.0,0.0
Ryan Sessegnon,,MID,,,,307,0,1,,0,0,,,Fulham,12,1,0,0,59.6,45.2,39.0,5.4,0.0,3.0,3.0
Harry Wilson,,MID,,,,292,1,1,,0,0,,,Fulham,17,0,0,2,63.2,51.4,65.0,5.4,0.4,3.0,3.4
Sander Berge,,MID,,,,418,0,0,,1,0,,,Fulham,12,1,0,0,55.2,37.9,13.0,5.0,0.1,2.5,2.4
Tom Cairney,,MID,,,,34,0,0,,1,0,,,Fulham,2,0,0,0,0.4,1.3,0.0,4.9,0.0,0.5,0.7
Saša Lukić,,MID,,,,445,0,1,,3,0,,,Fulham,13,1,0,0,50.0,160.3,22.0,5.0,0.1,2.8,2.6
Martial Godo,,MID,,,,0,0,0,,0,0,,,Fulham,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Luke Harris,,MID,,,,0,0,0,,0,0,,,Fulham,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Josh King,,MID,,,,337,0,0,,1,0,,,Fulham,8,0,0,0,28.4,32.2,69.0,4.5,3.7,1.5,1.6
Harrison Reed,,MID,,,,0,0,0,,0,0,,,Fulham,0,0,0,0,0.0,0.0,0.0,4.4,0.3,0.0,0.0
Raúl Jiménez Rodríguez,,FWD,,,,131,0,0,,0,0,,,Fulham,6,0,0,0,5.2,7.9,20.0,6.3,1.1,1.0,1.2
Rodrigo Muniz Carvalho,,FWD,,,,314,1,1,,1,0,,,Fulham,15,1,0,3,58.8,41.7,103.0,5.5,2.5,2.0,3.0
Benjamin Lecomte,,GKP,,,,0,0,0,,0,0,,,Fulham,0,0,0,0,0.0,0.0,0.0,4.0,0.7,0.0,0.0
Samuel Chukwueze,,MID,,,,0,0,0,,0,0,,,Fulham,0,0,0,0,0.0,0.0,0.0,5.5,0.0,0.0,0.0
Kevin Santos Lopes de Macedo,,MID,,,,37,0,0,,1,0,,,Fulham,1,0,0,0,13.6,19.8,7.0,6.0,0.1,0.5,0.5
Jonah Kusi-Asare,,FWD,,,,0,0,0,,0,0,,,Fulham,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Illan Meslier,,GKP,,,,0,0,0,,0,0,,,Leeds,0,0,0,0,0.0,0.0,0.0,4.4,0.5,0.0,0.0
Alex Cairns,,GKP,,,,0,0,0,,0,0,,,Leeds,0,0,0,0,0.0,0.0,0.0,4.0,0.2,0.0,0.0
Karl Darlow,,GKP,,,,180,0,0,,0,0,,,Leeds,6,0,8,0,58.6,0.0,0.0,4.0,2.4,2.0,3.0
Jayden Bogle,,DEF,,,,434,0,1,,2,0,,,Leeds,17,2,0,0,53.4,16.9,29.0,4.5,0.2,4.0,3.4
Pascal Struijk,,DEF,,,,450,0,0,,0,0,,,Leeds,20,2,0,2,98.6,14.3,26.0,4.5,0.4,4.0,4.0
Jaka Bijol,,DEF,,,,0,0,0,,0,0,,,Leeds,0,0,0,0,0.0,0.0,0.0,4.0,0.1,0.0,0.0
Sebastiaan Bornauw,,DEF,,,,0,0,0,,0,0,,,Leeds,0,0,0,0,0.0,0.0,0.0,3.9,0.1,0.0,0.0
Sam Byram,,DEF,,,,7,0,0,,0,0,,,Leeds,1,0,0,0,0.0,0.0,0.0,3.9,0.2,0.0,1.0
Gabriel Gudmundsson,,DEF,,,,439,0,0,,1,0,,,Leeds,21,2,0,6,83.6,74.1,27.0,4.0,5.3,4.3,4.2
Joe Rodon,,DEF,,,,450,0,0,,0,0,,,Leeds,22,2,0,2,97.8,2.8,4.0,4.0,4.0,4.3,4.4
Isaac Schmidt,,DEF,,,,0,0,0,,0,0,,,Leeds,0,0,0,0,0.0,0.0,0.0,4.0,0.1,0.0,0.0
Brenden Aaronson,,MID,,,,243,0,0,,0,0,,,Leeds,10,1,0,0,38.6,45.1,30.0,5.4,0.1,2.7,2.0
Wilfried Gnonto,,MID,,,,191,0,0,,1,0,,,Leeds,6,1,0,0,15.8,21.4,16.0,5.3,0.2,0.3,1.5
Jack Harrison,,MID,,,,84,0,0,,0,0,,,Leeds,4,0,0,0,10.6,7.6,4.0,5.3,0.1,1.0,1.0
Daniel James,,MID,,,,212,0,0,,0,0,,,Leeds,7,1,0,0,11.8,31.1,29.0,5.3,0.2,0.7,1.8
Ethan Ampadu,,MID,,,,257,0,0,,0,0,,,Leeds,11,1,0,0,41.6,12.4,3.0,4.9,0.1,2.7,3.7
Sam Greenwood,,MID,,,,0,0,0,,0,0,,,Leeds,0,0,0,0,0.0,0.0,0.0,4.9,0.1,0.0,0.0
Ilia Gruev,,MID,,,,193,0,0,,0,0,,,Leeds,7,1,0,0,24.6,8.6,2.0,4.9,0.0,1.3,1.8
Largie Ramazani,,MID,,,,0,0,0,,0,0,,,Leeds,0,0,0,0,0.0,0.0,0.0,4.9,0.0,0.0,0.0
Tanaka Ao,,MID,,,,154,0,0,,0,0,,,Leeds,5,1,0,0,4.2,27.6,9.0,4.9,0.1,0.3,1.7
Charlie Crew,,MID,,,,0,0,0,,0,0,,,Leeds,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Joe Gelhardt,,MID,,,,0,0,0,,0,0,,,Leeds,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Darko Gyabi,,MID,,,,0,0,0,,0,0,,,Leeds,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Joël Piroe,,FWD,,,,134,0,0,,0,0,,,Leeds,3,1,0,0,2.0,6.9,44.0,5.3,0.7,0.0,1.5
Patrick Bamford,,FWD,,,,0,0,0,,0,0,,,Leeds,0,0,0,0,0.0,0.0,0.0,4.9,0.7,0.0,0.0
Mateo Joseph Fernández-Regatillo,,FWD,,,,0,0,0,,0,0,,,Leeds,0,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Lukas Nmecha,,FWD,,,,135,1,0,,0,0,,,Leeds,10,1,0,0,45.6,8.1,33.0,5.0,0.8,1.3,2.0
Sean Longstaff,,MID,,,,295,0,0,,0,0,,,Leeds,11,1,0,0,42.6,19.0,12.0,4.9,0.2,3.0,2.2
Anton Stach,,MID,,,,450,1,2,,1,0,,,Leeds,29,2,0,3,111.6,167.1,59.0,5.0,1.1,6.3,5.8
Lucas Estella Perri,,GKP,,,,270,0,0,,0,0,,,Leeds,12,2,3,0,29.2,0.0,0.0,4.5,0.3,2.0,4.0
Dominic Calvert-Lewin,,FWD,,,,178,1,1,,0,0,,,Leeds,14,1,0,2,41.8,32.2,60.0,5.5,0.4,4.7,4.7
Noah Okafor,,MID,,,,160,1,0,,1,0,,,Leeds,11,1,0,1,47.4,20.4,40.0,5.5,0.0,3.3,3.7
James Justin,,DEF,,,,17,0,0,,0,0,,,Leeds,2,0,0,0,4.0,0.0,0.0,4.0,0.2,0.7,1.0
Harry Gray,,FWD,,,,0,0,0,,0,0,,,Leeds,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
Alisson Becker,,GKP,,,,450,0,0,,0,0,,,Liverpool,18,2,4,2,60.6,0.1,0.0,5.5,10.8,4.2,3.6
Giorgi Mamardashvili,,GKP,,,,0,0,0,,0,0,,,Liverpool,0,0,0,0,0.0,0.0,0.0,4.3,0.3,0.0,0.0
Ármin Pécsi,,GKP,,,,0,0,0,,0,0,,,Liverpool,0,0,0,0,0.0,0.0,0.0,3.9,0.1,0.0,0.0
Freddie Woodman,,GKP,,,,0,0,0,,0,0,,,Liverpool,0,0,0,0,0.0,0.0,0.0,4.0,0.1,0.0,0.0
Jeremie Frimpong,,DEF,,,,62,0,1,,0,0,,,Liverpool,5,0,0,0,8.4,1.9,21.0,5.9,8.6,1.0,2.5
Milos Kerkez,,DEF,,,,366,0,0,,2,0,,,Liverpool,11,1,0,0,72.2,38.5,12.0,5.9,5.2,2.8,2.2
Andrew Robertson,,DEF,,,,82,0,0,,0,0,,,Liverpool,1,0,0,0,30.0,72.1,25.0,5.9,1.1,0.2,0.5
Virgil van Dijk,,DEF,,,,450,0,0,,0,0,,,Liverpool,26,2,0,4,166.6,22.4,29.0,6.1,29.8,5.8,5.2
Ibrahima Konaté,,DEF,,,,434,0,0,,1,0,,,Liverpool,20,2,0,3,99.0,29.8,14.0,5.5,3.4,4.8,4.0
Conor Bradley,,DEF,,,,145,0,0,,2,0,,,Liverpool,2,0,0,0,17.2,13.5,18.0,5.0,0.1,0.5,0.7
Joe Gomez,,DEF,,,,29,0,0,,0,0,,,Liverpool,2,0,0,0,14.6,0.5,0.0,5.0,0.1,0.2,1.0
Konstantinos Tsimikas,,DEF,,,,0,0,0,,0,0,,,Liverpool,0,0,0,0,0.0,0.0,0.0,4.8,0.1,0.0,0.0
Amara Nallo,,DEF,,,,0,0,0,,0,0,,,Liverpool,0,0,0,0,0.0,0.0,0.0,3.9,0.2,0.0,0.0
Rhys Williams,,DEF,,,,0,0,0,,0,0,,,Liverpool,0,0,0,0,0.0,0.0,0.0,3.9,0.2,0.0,0.0
Calvin Ramsay,,DEF,,,,0,0,0,,0,0,,,Liverpool,0,0,0,0,0.0,0.0,0.0,3.9,0.2,0.0,0.0
Mohamed Salah,,MID,,,,450,2,2,,0,0,,,Liverpool,30,2,0,2,127.0,106.2,128.0,14.5,51.6,5.5,6.0
Florian Wirtz,,MID,,,,363,0,0,,1,0,,,Liverpool,10,2,0,0,39.2,138.1,80.0,8.3,14.3,2.0,2.0
Luis Díaz Marulanda,,MID,,,,0,0,0,,0,0,,,Liverpool,0,0,0,0,0.0,0.0,0.0,8.0,0.1,0.0,0.0
Cody Gakpo,,MID,,,,420,1,2,,0,0,,,Liverpool,25,2,0,2,112.4,137.4,118.0,7.7,17.0,4.5,5.0
Federico Chiesa,,MID,,,,47,1,0,,0,0,,,Liverpool,9,0,0,0,36.6,1.3,27.0,6.4,0.3,0.8,2.2
Alexis Mac Allister,,MID,,,,236,0,1,,0,0,,,Liverpool,11,1,0,0,41.6,45.2,21.0,6.4,1.4,1.5,2.8
Dominik Szoboszlai,,MID,,,,450,1,0,,1,0,,,Liverpool,21,2,0,3,103.6,83.5,69.0,6.5,3.9,4.8,4.2
